Pinyin_T,onset,Pinyin,tone,onset.type,syllable,syllable2,syllable3,syllable4,syllable.type,gap_narrow,gap_broad,token frequency,type frequency,Number of gaps,Probability,PND.C_G_V_C,PND.C_G_V_X,NF.C_G_V_C,NF.C_G_V_X
bo2,b,bo,2,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,210,342,0,0,30,27,1233334.175,1233371.2
bo3,b,bo,3,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,1,342,0,0,30,27,1233334.175,1233371.2
bo4,b,bo,4,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,20,342,0,0,30,27,1233334.175,1233371.2
biao1,b,biao,1,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,141,313,2,0.247788569,26,19,132431,169095.015
biao2,b,biao,2,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,313,2,0.247788569,26,19,132431,169095.015
biao3,b,biao,3,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,172,313,2,0.247788569,26,19,132431,169095.015
biao4,b,biao,4,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,N,0,313,2,0.247788569,26,19,132431,169095.015
bian1,b,bian,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,2666,3527,1,0.258927372,28,25,51897.189,53524.188
bian2,b,bian,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,3527,1,0.258927372,28,25,51897.189,53524.188
bian3,b,bian,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,45,3527,1,0.258927372,28,25,51897.189,53524.188
bian4,b,bian,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,816,3527,1,0.258927372,28,25,51897.189,53524.188
bing1,b,bing,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,213,483,1,0.25100143,25,22,48708.833,49891.125
bing2,b,bing,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,483,1,0.25100143,25,22,48708.833,49891.125
bing3,b,bing,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,26,483,1,0.25100143,25,22,48708.833,49891.125
bing4,b,bing,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,244,483,1,0.25100143,25,22,48708.833,49891.125
ba1,b,ba,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,365,1228,0,0.295397325,31,30,241347.125,249417.643
ba2,b,ba,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,6,1228,0,0.295397325,31,30,241347.125,249417.643
ba3,b,ba,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,626,1228,0,0.295397325,31,30,241347.125,249417.643
ba4,b,ba,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,231,1228,0,0.295397325,31,30,241347.125,249417.643
bi1,b,bi,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,18,3066,0,0.33271696,32,25,380011.832,411240
bi2,b,bi,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,2,3066,0,0.33271696,32,25,380011.832,411240
bi3,b,bi,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,2482,3066,0,0.33271696,32,25,380011.832,411240
bi4,b,bi,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,564,3066,0,0.33271696,32,25,380011.832,411240
bu1,b,bu,1,voiceless,CV,CV,CV,CV/CGV,open,Y,N,0,12287,1,1.428860093,33,29,56122.583,55554.952
bu2,b,bu,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,2602,12287,1,1.428860093,33,29,56122.583,55554.952
bu3,b,bu,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,156,12287,1,1.428860093,33,29,56122.583,55554.952
bu4,b,bu,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,9529,12287,1,1.428860093,33,29,56122.583,55554.952
bai1,b,bai,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,748,1,0.173122747,29,28,132830.697,239231.452
bai2,b,bai,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,108,748,1,0.173122747,29,28,132830.697,239231.452
bai3,b,bai,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,413,748,1,0.173122747,29,28,132830.697,239231.452
bai4,b,bai,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,227,748,1,0.173122747,29,28,132830.697,239231.452
bao1,b,bao,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,150,1093,1,0.311036788,31,30,95889.87,218761.214
bao2,b,bao,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,1093,1,0.311036788,31,30,95889.87,218761.214
bao3,b,bao,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,423,1093,1,0.311036788,31,30,95889.87,218761.214
bao4,b,bao,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,520,1093,1,0.311036788,31,30,95889.87,218761.214
bei1,b,bei,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,127,1767,1,0.335889992,21,16,107239.5,48429.231
bei2,b,bei,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,Y,0,1767,1,0.335889992,21,16,107239.5,48429.231
bei3,b,bei,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,1000,1767,1,0.335889992,21,16,107239.5,48429.231
bei4,b,bei,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,640,1767,1,0.335889992,21,16,107239.5,48429.231
ban1,b,ban,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,816,1804,1,0.296313388,34,33,190153.917,189803.792
ban2,b,ban,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,1804,1,0.296313388,34,33,190153.917,189803.792
ban3,b,ban,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,206,1804,1,0.296313388,34,33,190153.917,189803.792
ban4,b,ban,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,782,1804,1,0.296313388,34,33,190153.917,189803.792
bang1,b,bang,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,244,361,1,0.053383939,26,28,186926,186061.2
bang2,b,bang,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,361,1,0.053383939,26,28,186926,186061.2
bang3,b,bang,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,32,361,1,0.053383939,26,28,186926,186061.2
bang4,b,bang,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,85,361,1,0.053383939,26,28,186926,186061.2
ben1,b,ben,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,2,1119,1,0.22727671,20,21,81799.235,81765.902
ben2,b,ben,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,1119,1,0.22727671,20,21,81799.235,81765.902
ben3,b,ben,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1103,1119,1,0.22727671,20,21,81799.235,81765.902
ben4,b,ben,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,14,1119,1,0.22727671,20,21,81799.235,81765.902
