ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII
66,2,10,1490,0,2646,1,lvi2,lyei2
67,20,2,197,1,287,1,quou2,quou2
67,1,9,1388,0,1216,1,quou2,quou2
67,2,3,473,0,1050,1,quou2,quou2
67,22,8,1170,1,1752,1,quou2,quou2
67,8,10,1521,0,693,1,quou2,quou2
68,8,7,1091,0,1729,1,jvou1,jyou1
68,22,6,945,1,2494,1,jvou1,jyou1
68,1,10,1554,0,468,1,jvou1,jyou1
68,20,4,573,1,246,1,jvou1,jyou1
68,2,10,1525,0,911,1,jvou1,jyou1
69,22,3,340,0,2924,1,zvang2,cyaN2
69,20,4,615,1,103,1,zvang2,cyaN2
69,2,5,641,0,939,1,zvang2,cyaN2
69,1,9,1301,0,253,1,zvang2,cyaN2
69,8,3,462,0,1646,1,zvang2,cyaN2
70,1,8,1185,0,625,1,sv1,sy1
70,8,1,142,0,1246,1,sv1,sy1
70,2,7,1033,0,793,1,sv1,sy1
70,20,2,315,1,241,1,sv1,sy1
70,22,9,1287,0,829,1,sv1,sy1
71,2,7,992,0,781,1,mvang3,myaN3
71,1,5,770,0,1521,1,mvang3,myaN3
71,20,8,1241,1,153,1,mvang3,myaN3
71,22,10,1491,0,2499,1,mvang3,myaN3
71,8,3,422,0,810,1,mvang3,myaN3
72,2,3,396,0,1361,1,ja2,ja2
72,1,3,409,0,703,1,ja2,ja2
72,20,5,718,1,270,1,ja2,ja2
72,22,9,1301,0,1061,1,ja2,ja2
72,8,7,993,0,1211,1,ja2,ja2
73,2,3,427,0,1529,1,shvi4,Syei4
73,8,7,1029,1,256,1,shvi4,Syei4
73,20,3,431,1,275,1,shvi4,Syei4
73,1,4,511,0,849,1,shvi4,Syei4
73,22,4,534,1,1552,1,shvi4,Syei4
74,2,10,1533,1,1207,1,nang1,naN1
74,8,8,1273,1,425,1,nang1,naN1
74,22,6,801,0,928,1,nang1,naN1
74,1,6,819,1,1350,1,nang1,naN1
74,20,7,1059,1,37,1,nang1,naN1
75,2,1,26,1,1387,1,ke3,Ke3
75,20,10,1460,1,78,1,ke3,Ke3
75,22,3,391,0,1799,1,ke3,Ke3
75,8,6,880,0,1388,1,ke3,Ke3
75,1,7,1090,0,638,1,ke3,Ke3
76,22,6,870,1,1579,1,so3,so3
76,2,4,598,0,697,1,so3,so3
76,20,8,1274,1,218,1,so3,so3
76,1,9,1339,0,339,1,so3,so3
76,8,10,1526,0,535,1,so3,so3
77,8,7,996,1,309,1,cie1,Ci[1
77,1,9,1328,0,281,1,cie1,Ci[1
77,22,9,1403,0,466,1,cie1,Ci[1
77,2,9,1360,0,1444,1,cie1,Ci[1
77,20,4,611,1,288,1,cie1,Ci[1
78,22,9,1431,1,1423,1,chuo2,zuo2
78,2,6,809,0,831,1,chuo2,zuo2
78,1,8,1165,0,395,1,chuo2,zuo2
78,8,2,176,0,1441,1,chuo2,zuo2
78,20,9,1355,1,556,1,chuo2,zuo2
79,8,8,1234,1,860,1,pun1,Pun1
79,2,1,104,1,2190,1,pun1,Pun1
79,22,3,416,0,1561,1,pun1,Pun1
79,20,3,461,1,46,1,pun1,Pun1
79,1,1,70,0,2339,1,pun1,Pun1
80,22,5,698,0,1657,1,siao1,siau1
80,20,8,1278,1,226,1,siao1,siau1
80,8,6,912,1,924,1,siao1,siau1
80,2,7,1096,1,2261,1,siao1,siau1
80,1,5,773,0,784,1,siao1,siau1
81,20,3,359,1,288,1,giu4,kiou4
81,1,5,676,0,907,1,giu4,kiou4
81,2,9,1361,0,1789,1,giu4,kiou4
81,22,8,1171,0,1080,1,giu4,kiou4
81,8,6,938,1,1514,1,giu4,kiou4
82,1,3,471,0,1270,1,gei4,kei4
82,2,3,446,1,1059,1,gei4,kei4
82,22,2,199,0,2632,1,gei4,kei4
82,8,5,682,1,1366,1,gei4,kei4
82,20,4,587,1,103,1,gei4,kei4
83,1,4,542,0,562,1,tvn3,Tyn3
83,22,7,1034,0,1504,1,tvn3,Tyn3
83,20,10,1480,1,336,1,tvn3,Tyn3
83,8,10,1512,0,586,1,tvn3,Tyn3
83,2,10,1462,0,1276,1,tvn3,Tyn3
84,22,3,339,0,2748,1,zhun4,Zun4
84,20,5,785,1,246,1,zhun4,Zun4
84,8,2,174,1,1532,1,zhun4,Zun4
84,1,7,995,0,1801,1,zhun4,Zun4
84,2,2,167,0,1795,1,zhun4,Zun4
85,1,4,579,0,353,1,mue2,mu^2
